route,stopid,progr_number,stop_name
13,110,10,Balcurris Gardens
123,1490,45,Ard Scoil Ris
29a,7551,7,Abbey Park
7b,2025,24,Abbey Park
7b,2053,31,Abbey Park
7d,2025,24,Abbey Park
7d,2053,31,Abbey Park
7b,2023,22,Abbey Road
7d,2023,22,Abbey Road
29a,289,1,Abbey St Lower
29a,291,46,Abbey St Lower
31,289,1,Abbey St Lower
31a,289,1,Abbey St Lower
31b,289,1,Abbey St Lower
32,289,1,Abbey St Lower
33,292,103,Abbey St Lower
130,7591,1,Abbey Street
31,559,47,Abbey Street Howth
31a,559,47,Abbey Street Howth
41,4957,53,Abbeyvale
41b,4957,53,Abbeyvale
41c,4957,53,Abbeyvale
41x,4957,53,Abbeyvale
40d,1577,23,Abbottstown Road
40d,1584,22,Abbottstown Road
40e,1577,23,Abbottstown Road
40e,1584,22,Abbottstown Road
41,3864,45,Abbylea Close
41b,3864,45,Abbylea Close
41x,3864,45,Abbylea Close
66,6160,12,Accommodation Road
66e,6160,12,Accommodation Road
66x,6160,12,Accommodation Road
11,43,10,Achill Road
25b,7117,37,Adamstown Avenue
25b,7120,2,Adamstown Avenue
25d,7117,37,Adamstown Avenue
25d,7120,2,Adamstown Avenue
25b,6289,39,Adamstown Station
25b,6290,1,Adamstown Station
25d,6289,39,Adamstown Station
25d,6290,1,Adamstown Station
27,4698,77,Adare Avenue
27x,4698,77,Adare Avenue
27,1255,14,Adare Park
27x,1255,14,Adare Park
27,4696,74,Adare Road
27x,4696,74,Adare Road
142,1015,36,Adelaide Road
44,1015,36,Adelaide Road
61,1015,36,Adelaide Road
757,1015,36,Adelaide Road
29a,917,4,Admiral Court
54a,2440,18,Aideen Avenue
9,2440,18,Aideen Avenue
47,2087,22,Ailesbury Road
47,4455,31,Ailesbury Road
15b,6298,6,Airpark Avenue
15b,6325,44,Airpark Avenue
33,3670,28,Airport Parking
33,3885,23,Airport Parking
41,3885,23,Airport Parking
41a,3885,23,Airport Parking
41b,3670,28,Airport Parking
41b,3885,23,Airport Parking
41c,3670,28,Airport Parking
41c,3885,23,Airport Parking
33,3671,31,Airport Roundabout
41,3671,31,Airport Roundabout
41b,3671,31,Airport Roundabout
41c,3671,31,Airport Roundabout
33,3676,35,Airside
33,3695,18,Airside
41,3676,35,Airside
41,3695,18,Airside
41a,3695,18,Airside
41b,3676,35,Airside
41b,3695,18,Airside
41x,3676,35,Airside
41x,3695,18,Airside
27,2633,20,Airton Road
27,4446,74,Airton Road
7,3039,33,Albany Avenue
7a,3039,33,Albany Avenue
13,90,53,Albert College Court
155,90,53,Albert College Court
4,90,53,Albert College Court
70d,90,53,Albert College Court
9,90,53,Albert College Court
11,29,51,Albert College Park
13,29,51,Albert College Park
155,29,51,Albert College Park
4,29,51,Albert College Park
70d,29,51,Albert College Park
9,29,51,Albert College Park
27,2349,39,Alderwood
27,2360,48,Alderwood
54a,2349,39,Alderwood
54a,2360,48,Alderwood
56a,2349,39,Alderwood
56a,2360,48,Alderwood
65,2349,39,Alderwood
65,2360,48,Alderwood
77a,2349,39,Alderwood
77a,2360,48,Alderwood
44,2817,40,Alexandra College
44,2898,41,Alexandra College
61,2817,40,Alexandra College
61,2898,41,Alexandra College
53,2264,19,Alexandra Road
40d,4979,37,Alexion
40d,5071,8,Alexion
130,1737,26,Alfie Byrne Road
130,1741,14,Alfie Byrne Road
32x,1741,14,Alfie Byrne Road
29a,651,24,All Saints Park
29a,657,24,All Saints Park
29a,649,22,All Saints Road
29a,658,25,All Saints Road
39a,6110,65,Allendale Close
39a,6111,10,Allendale Close
39x,6110,65,Allendale Close
39x,6111,10,Allendale Close
39,7156,62,Allendale Square
39,7163,10,Allendale Square
7,3037,31,Alma Road
7a,3037,31,Alma Road
13,6245,11,Alpine Heights
151,6244,40,Alpine Heights
151,6245,11,Alpine Heights
51d,6245,11,Alpine Heights
68,6244,40,Alpine Heights
68x,6245,11,Alpine Heights
56a,2754,10,Alpine Rise
16,1630,27,ALSAA Sports Club
16,1631,28,ALSAA Sports Club
16c,1631,28,ALSAA Sports Club
33,1630,27,ALSAA Sports Club
33,1631,28,ALSAA Sports Club
41,1630,27,ALSAA Sports Club
41,1631,28,ALSAA Sports Club
41a,1631,28,ALSAA Sports Club
41b,1630,27,ALSAA Sports Club
41b,1631,28,ALSAA Sports Club
41c,1630,27,ALSAA Sports Club
41c,1631,28,ALSAA Sports Club
68,3398,70,Alymer Road
120,415,12,American Embassy
120,487,53,American Embassy
4,415,12,American Embassy
4,487,53,American Embassy
7,415,12,American Embassy
7,487,53,American Embassy
7a,415,12,American Embassy
7a,487,53,American Embassy
7d,487,53,American Embassy
130,619,49,Amiens Street
14,619,49,Amiens Street
14c,619,49,Amiens Street
15,619,49,Amiens Street
27,619,49,Amiens Street
27a,619,49,Amiens Street
27b,619,49,Amiens Street
29a,619,49,Amiens Street
31,619,49,Amiens Street
31a,619,49,Amiens Street
31b,619,49,Amiens Street
32,619,49,Amiens Street
42,619,49,Amiens Street
43,619,49,Amiens Street
53,619,49,Amiens Street
122,59,16,Annamoe Terrace
122,78,37,Annamoe Terrace
38,59,16,Annamoe Terrace
38,78,37,Annamoe Terrace
38a,59,16,Annamoe Terrace
38a,78,37,Annamoe Terrace
38b,59,16,Annamoe Terrace
38b,78,37,Annamoe Terrace
38d,59,16,Annamoe Terrace
38d,78,37,Annamoe Terrace
46a,800,57,Annamore Parade
46a,812,6,Annamore Parade
46a,801,58,Annamore Road
46a,811,5,Annamore Road
7b,7420,27,Annaville Terrace
7b,7421,28,Annaville Terrace
7d,7420,27,Annaville Terrace
7d,7421,28,Annaville Terrace
130,615,45,Annesley Bridge
14,615,45,Annesley Bridge
14c,615,45,Annesley Bridge
15,615,45,Annesley Bridge
27,615,45,Annesley Bridge
27a,615,45,Annesley Bridge
27b,615,45,Annesley Bridge
29a,615,45,Annesley Bridge
31,615,45,Annesley Bridge
31a,615,45,Annesley Bridge
31b,615,45,Annesley Bridge
32,615,45,Annesley Bridge
42,615,45,Annesley Bridge
43,615,45,Annesley Bridge
130,521,8,Annesley Bridge Road
14,521,8,Annesley Bridge Road
15,521,8,Annesley Bridge Road
27,521,8,Annesley Bridge Road
27a,521,8,Annesley Bridge Road
27b,521,8,Annesley Bridge Road
29a,521,8,Annesley Bridge Road
31,521,8,Annesley Bridge Road
31a,521,8,Annesley Bridge Road
31b,521,8,Annesley Bridge Road
32,521,8,Annesley Bridge Road
42,521,8,Annesley Bridge Road
43,521,8,Annesley Bridge Road
11,879,23,Annsbrook
11,849,29,Appian Way
11,904,33,Appian Way
41a,4922,9,Applewood
41c,4919,52,Applewood
41c,4922,9,Applewood
41x,4922,9,Applewood
38,1818,43,Aquatic Centre
38,1836,15,Aquatic Centre
38,4974,43,Aquatic Centre
38a,1818,43,Aquatic Centre
38a,1836,15,Aquatic Centre
38b,1836,15,Aquatic Centre
38b,4974,43,Aquatic Centre
7b,3555,5,Aran Avenue
16,1321,64,Aranleigh
56a,2743,45,Ard Mhuire School
29a,727,33,Ardara Avenue
29a,740,14,Ardara Avenue
27b,1242,33,Ardbeg Road
41,4908,6,Ardcian Park
41,4910,47,Ardcian Park
41a,4908,6,Ardcian Park
41b,4910,47,Ardcian Park
41c,4908,6,Ardcian Park
41c,4910,47,Ardcian Park
41x,4908,6,Ardcian Park
41x,4910,47,Ardcian Park
151,2313,14,Ardee Court
27,2313,14,Ardee Court
56a,2313,14,Ardee Court
77a,2313,14,Ardee Court
150,309,32,Ardee Street
150,4854,7,Ardee Street
151,2380,37,Ardee Street
27,2380,37,Ardee Street
56a,2380,37,Ardee Street
77a,2380,37,Ardee Street
77x,2380,37,Ardee Street
25,3887,39,Ardeevin Avenue
66,3887,39,Ardeevin Avenue
66a,3887,39,Ardeevin Avenue
66b,3887,39,Ardeevin Avenue
66e,3887,39,Ardeevin Avenue
67,3887,39,Ardeevin Avenue
33,3813,7,Ardgillan Demesne
33,7175,93,Ardgillan Demesne
33x,7175,93,Ardgillan Demesne
27b,1222,20,Ardlea Road
27b,247,30,Ardlea Road
27b,1226,24,Ardmore Drive
37,1705,37,Ardpatrick Road
29a,725,31,Ardscoil La Salle
65,4067,28,Arduan
65,5110,59,Arduan
47,448,11,Arena Road
83,2465,3,Armagh Road
83,5026,64,Armagh Road
83a,2465,3,Armagh Road
83a,5026,64,Armagh Road
7d,3092,5,Arnold Grove
7d,3093,6,Arnold Park
145,7453,47,Arran Quay
25,7453,47,Arran Quay
25a,7453,47,Arran Quay
25b,7453,47,Arran Quay
25d,7453,47,Arran Quay
25x,7453,47,Arran Quay
26,7453,47,Arran Quay
37,7453,47,Arran Quay
39,7453,47,Arran Quay
39a,7453,47,Arran Quay
51d,7453,47,Arran Quay
51x,7453,47,Arran Quay
66,7453,47,Arran Quay
66a,7453,47,Arran Quay
66b,7453,47,Arran Quay
66e,7453,47,Arran Quay
66x,7453,47,Arran Quay
67,7453,47,Arran Quay
67x,7453,47,Arran Quay
69,7453,47,Arran Quay
70,7453,47,Arran Quay
747,7453,47,Arran Quay
79,7453,47,Arran Quay
79a,7453,47,Arran Quay
14,246,74,Artane Castle
14,249,2,Artane Castle
14c,249,2,Artane Castle
25a,4612,36,Arthur Griffith Park
25a,4626,4,Arthur Griffith Park
67x,7079,4,Ash Grove
29a,610,33,Ashbrook
31,610,33,Ashbrook
31a,610,33,Ashbrook
31b,610,33,Ashbrook
32,610,33,Ashbrook
15,1155,60,Ashfield College
49,1155,60,Ashfield College
65,1155,60,Ashfield College
65b,1155,60,Ashfield College
39,1865,22,Ashfield Gardens
39a,1865,22,Ashfield Gardens
39,1866,23,Ashfield Park
39a,1866,23,Ashfield Park
122,4524,51,Ashington Avenue
122,4526,2,Ashington Avenue
122,4322,52,Ashington Park
122,4525,1,Ashington Park
14,2844,5,Ashlawn
14,2862,70,Ashlawn
14c,2844,5,Ashlawn
7,3224,19,Ashlawn
7a,3224,19,Ashlawn
7b,3224,19,Ashlawn
7d,3224,19,Ashlawn
37,1675,36,Ashleigh Green
37,1687,21,Ashleigh Green
38,1675,36,Ashleigh Green
38,1687,21,Ashleigh Green
70d,1675,36,Ashleigh Green
70d,1687,21,Ashleigh Green
44,4117,5,Ashridge Green
44,6097,79,Ashridge Green
37,1695,27,Ashtown Gate
70d,1695,27,Ashtown Gate
37,1664,41,Ashtown Grove
37,1698,33,Ashtown Grove
38,1664,41,Ashtown Grove
38,1698,33,Ashtown Grove
38a,1664,41,Ashtown Grove
38a,1698,33,Ashtown Grove
38b,1664,41,Ashtown Grove
38b,1698,33,Ashtown Grove
38d,1664,41,Ashtown Grove
38d,1698,33,Ashtown Grove
39,1664,41,Ashtown Grove
39,1698,33,Ashtown Grove
39a,1664,41,Ashtown Grove
39a,1698,33,Ashtown Grove
70,1664,41,Ashtown Grove
70,1698,33,Ashtown Grove
70d,1664,41,Ashtown Grove
70d,1698,33,Ashtown Grove
37,1666,43,Ashtown Roundabout
37,1696,31,Ashtown Roundabout
38,1666,43,Ashtown Roundabout
38,1696,31,Ashtown Roundabout
38a,1666,43,Ashtown Roundabout
38a,1696,31,Ashtown Roundabout
38b,1666,43,Ashtown Roundabout
38b,1696,31,Ashtown Roundabout
38d,1666,43,Ashtown Roundabout
38d,1696,31,Ashtown Roundabout
39,1666,43,Ashtown Roundabout
39,1696,31,Ashtown Roundabout
39a,1666,43,Ashtown Roundabout
39a,1696,31,Ashtown Roundabout
39x,1666,43,Ashtown Roundabout
39x,1696,31,Ashtown Roundabout
70,1666,43,Ashtown Roundabout
70,1696,31,Ashtown Roundabout
70d,1666,43,Ashtown Roundabout
70d,1696,31,Ashtown Roundabout
145,325,68,Aston Quay
25,7392,6,Aston Quay
25a,7392,6,Aston Quay
25b,7392,6,Aston Quay
25d,7392,6,Aston Quay
37,329,11,Aston Quay
39,328,26,Aston Quay
39a,328,26,Aston Quay
39x,328,26,Aston Quay
51d,7392,6,Aston Quay
69,4720,2,Aston Quay
69x,4720,2,Aston Quay
70,329,11,Aston Quay
79,326,1,Aston Quay
79a,326,1,Aston Quay
27b,7112,38,Astro Park
27b,993,14,Astro Park
38,2961,30,Auburn Avenue
38,4899,24,Auburn Avenue
7,3215,54,Auburn Drive
7,3227,22,Auburn Drive
7a,3215,54,Auburn Drive
7a,3227,22,Auburn Drive
7b,3215,54,Auburn Drive
7b,3227,22,Auburn Drive
7d,3227,22,Auburn Drive
38,4746,26,Auburn Green
42,3579,39,Auburn House
42,3645,29,Auburn House
14,1080,16,Auburn Villas
15,1080,16,Auburn Villas
15a,1080,16,Auburn Villas
15b,1080,16,Auburn Villas
15d,1080,16,Auburn Villas
65,1080,16,Auburn Villas
65b,1080,16,Auburn Villas
150,1387,13,Aughavanagh Road
150,1404,26,Aughavanagh Road
37,1712,45,Aughrim Court
37,1710,43,Aughrim Street
27b,7044,13,Aulden Grange
27b,972,39,Aulden Grange
14,1354,20,Aungier Street
140,1354,20,Aungier Street
142,1354,20,Aungier Street
14c,1354,20,Aungier Street
15,1354,20,Aungier Street
15a,1354,20,Aungier Street
15b,1354,20,Aungier Street
15d,1354,20,Aungier Street
40d,4793,20,Avila Park
40e,4793,20,Avila Park
31,537,26,Avondale Park
31,598,31,Avondale Park
31a,537,26,Avondale Park
31a,598,31,Avondale Park
31b,537,26,Avondale Park
31b,598,31,Avondale Park
31d,537,26,Avondale Park
31d,598,31,Avondale Park
32,537,26,Avondale Park
32,598,31,Avondale Park
7d,3091,4,Avondale Road
77a,2609,30,Avonmore Drive
77x,2609,30,Avonmore Drive
77a,2602,42,Avonmore Park
77a,2608,29,Avonmore Road
77x,2608,29,Avonmore Road
68,3401,5,Aylmer Road
68x,3401,5,Aylmer Road
145,7622,42,Bachelors Walk
151,7622,42,Bachelors Walk
25,315,50,Bachelors Walk
25a,315,50,Bachelors Walk
25b,315,50,Bachelors Walk
25d,315,50,Bachelors Walk
25x,315,50,Bachelors Walk
26,315,50,Bachelors Walk
37,315,50,Bachelors Walk
39,315,50,Bachelors Walk
39a,315,50,Bachelors Walk
39x,315,50,Bachelors Walk
51d,315,50,Bachelors Walk
51x,315,50,Bachelors Walk
66,315,50,Bachelors Walk
66a,315,50,Bachelors Walk
66b,315,50,Bachelors Walk
66e,315,50,Bachelors Walk
66x,315,50,Bachelors Walk
67,315,50,Bachelors Walk
67x,315,50,Bachelors Walk
70,315,50,Bachelors Walk
83,315,50,Bachelors Walk
83a,315,50,Bachelors Walk
67,3898,49,Backweston
67,3940,21,Backweston
67x,3898,49,Backweston
67x,3940,21,Backweston
67,3897,48,Backweston Park
67,3941,22,Backweston Park
67x,3897,48,Backweston Park
67x,3941,22,Backweston Park
122,1700,35,Baggot Road
37,1662,40,Baggot Road
37,1699,34,Baggot Road
37,1700,35,Baggot Road
38,1662,40,Baggot Road
38,1699,34,Baggot Road
38,1700,35,Baggot Road
38a,1662,40,Baggot Road
38a,1699,34,Baggot Road
38a,1700,35,Baggot Road
38b,1662,40,Baggot Road
38b,1699,34,Baggot Road
38b,1700,35,Baggot Road
38d,1662,40,Baggot Road
38d,1699,34,Baggot Road
38d,1700,35,Baggot Road
39,1662,40,Baggot Road
39,1699,34,Baggot Road
39,1700,35,Baggot Road
39a,1662,40,Baggot Road
39a,1699,34,Baggot Road
39a,1700,35,Baggot Road
39x,1662,40,Baggot Road
39x,1700,35,Baggot Road
70,1662,40,Baggot Road
70,1699,34,Baggot Road
70,1700,35,Baggot Road
70d,1662,40,Baggot Road
70d,1699,34,Baggot Road
70d,1700,35,Baggot Road
25x,749,57,Baggot St Lower
25x,783,16,Baggot St Lower
37,783,16,Baggot St Lower
38,749,57,Baggot St Lower
38,783,16,Baggot St Lower
38a,749,57,Baggot St Lower
38a,783,16,Baggot St Lower
38b,749,57,Baggot St Lower
38b,783,16,Baggot St Lower
38d,749,57,Baggot St Lower
38d,783,16,Baggot St Lower
39,749,57,Baggot St Lower
39,783,16,Baggot St Lower
39a,749,57,Baggot St Lower
39a,783,16,Baggot St Lower
39x,749,57,Baggot St Lower
39x,783,16,Baggot St Lower
51d,749,57,Baggot St Lower
51x,749,57,Baggot St Lower
66x,749,57,Baggot St Lower
66x,783,16,Baggot St Lower
67x,749,57,Baggot St Lower
67x,783,16,Baggot St Lower
70,749,57,Baggot St Lower
70,783,16,Baggot St Lower
757,749,57,Baggot St Lower
25x,752,60,Baggot St Upper
25x,782,15,Baggot St Upper
38,752,60,Baggot St Upper
38a,752,60,Baggot St Upper
38b,752,60,Baggot St Upper
38d,752,60,Baggot St Upper
39,752,60,Baggot St Upper
39a,752,60,Baggot St Upper
39a,782,15,Baggot St Upper
39x,752,60,Baggot St Upper
51d,752,60,Baggot St Upper
51x,752,60,Baggot St Upper
66x,752,60,Baggot St Upper
66x,782,15,Baggot St Upper
67x,752,60,Baggot St Upper
67x,782,15,Baggot St Upper
70,752,60,Baggot St Upper
77x,752,60,Baggot St Upper
25x,781,14,Baggot Street
39a,781,14,Baggot Street
66x,781,14,Baggot Street
67x,781,14,Baggot Street
31a,706,19,Baily Lighthouse
31a,708,55,Baily Lighthouse
31b,706,19,Baily Lighthouse
31b,708,55,Baily Lighthouse
116,2829,52,Balally Drive
116,2840,31,Balally Drive
44,2829,52,Balally Drive
44,2840,31,Balally Drive
44b,2829,52,Balally Drive
44b,2840,31,Balally Drive
116,2831,54,Balally Hill
44,2831,54,Balally Hill
44b,2831,54,Balally Hill
116,2839,30,Balally Road
44,2839,30,Balally Road
44b,2839,30,Balally Road
33,5064,2,Balbriggan
13,4683,6,Balbutcher Drive
13,6253,84,Balbutcher Drive
13,102,79,Balbutcher Lane
13,6016,3,Balbutcher Lane
13,7191,85,Balbutcher Way
13,7192,5,Balbutcher Way
31d,913,39,Baldoyle
31d,928,20,Baldoyle
32,913,39,Baldoyle
32,928,20,Baldoyle
32x,928,20,Baldoyle
29a,950,1,Baldoyle Hall
29a,4800,8,Baldoyle Ind Estate
29a,5156,40,Baldoyle Ind Estate
31,587,20,Baldoyle Rd Junction
31a,587,20,Baldoyle Rd Junction
31b,587,20,Baldoyle Rd Junction
31d,587,20,Baldoyle Rd Junction
32,587,20,Baldoyle Rd Junction
31d,910,36,Baldoyle Road
31d,931,23,Baldoyle Road
32,910,36,Baldoyle Road
32,931,23,Baldoyle Road
29a,918,5,Baldoyle Youth
123,2102,26,Balfe Road
151,2102,26,Balfe Road
27,2102,26,Balfe Road
56a,2102,26,Balfe Road
77a,2102,26,Balfe Road
151,4606,1,Balgaddy Road
25a,4623,9,Balgaddy Road
25b,4623,9,Balgaddy Road
42,1206,29,Balgriffin Cottages
42,1217,26,Balgriffin Cottages
43,1206,29,Balgriffin Cottages
43,1217,26,Balgriffin Cottages
33,3713,39,Balheary Park
33,3750,60,Balheary Park
33d,3750,60,Balheary Park
116,2838,29,Ballawley Park
44,2838,29,Ballawley Park
44b,2838,29,Ballawley Park
33,3759,47,Balleally West
33,3859,52,Balleally West
33x,3759,47,Balleally West
33x,3859,52,Balleally West
40d,7107,39,Ballentree Avenue
40d,7505,7,Ballentree Avenue
40e,7107,39,Ballentree Avenue
40e,7505,7,Ballentree Avenue
116,2858,66,Ballinteer Avenue
14,2858,66,Ballinteer Avenue
116,2852,14,Ballinteer Comm Sch
116,2853,61,Ballinteer Comm Sch
14,2852,14,Ballinteer Comm Sch
14,2853,61,Ballinteer Comm Sch
14c,2852,14,Ballinteer Comm Sch
116,2847,8,Ballinteer Court
14,2847,8,Ballinteer Court
14c,2847,8,Ballinteer Court
116,2857,65,Ballinteer Drive
14,2857,65,Ballinteer Drive
116,2846,7,Ballinteer Park
116,2859,67,Ballinteer Park
14,2846,7,Ballinteer Park
14,2859,67,Ballinteer Park
14c,2846,7,Ballinteer Park
14,2842,3,Ballinteer Road
14c,2842,3,Ballinteer Road
41c,3701,18,Ballintrane Wood
41c,4925,43,Ballintrane Wood
41x,4925,43,Ballintrane Wood
68,3384,56,Ballybane Green
68,3414,19,Ballybane Green
68x,3414,19,Ballybane Green
116,2955,48,Ballyboden Church
15d,2955,48,Ballyboden Church
61,2955,48,Ballyboden Church
15b,2925,43,Ballyboden Crescent
15d,2925,43,Ballyboden Crescent
15d,2948,44,Ballyboden Crescent
61,2925,43,Ballyboden Crescent
61,7449,6,Ballyboden Crescent
15b,2941,7,Ballyboden Road
15d,2941,7,Ballyboden Road
61,2941,7,Ballyboden Road
140,1510,32,Ballyboggan Road
140,1534,15,Ballyboggan Road
40,1510,32,Ballyboggan Road
40,1534,15,Ballyboggan Road
40b,1510,32,Ballyboggan Road
40b,1534,15,Ballyboggan Road
40d,1510,32,Ballyboggan Road
40d,1534,15,Ballyboggan Road
70d,1510,32,Ballyboggan Road
123,500,36,Ballybough Road
123,509,12,Ballybough Road
7b,3537,9,Ballybrack Cross
7d,3537,9,Ballybrack Cross
44b,3514,29,Ballybrack Road
7,3217,56,Ballybrack SC
7,3225,20,Ballybrack SC
7a,3217,56,Ballybrack SC
7a,3225,20,Ballybrack SC
7b,3217,56,Ballybrack SC
7b,3225,20,Ballybrack SC
7d,3225,20,Ballybrack SC
7d,3536,8,Ballybrack Village
38,7124,33,Ballycoolin  Bus Pk
38b,7124,33,Ballycoolin  Bus Pk
40d,7124,33,Ballycoolin  Bus Pk
38,7125,12,Ballycoolin Bus Pk
38a,7125,12,Ballycoolin Bus Pk
40d,7125,12,Ballycoolin Bus Pk
40d,7242,15,Ballycoolin Road
40d,7247,30,Ballycoolin Road
49,3004,10,Ballycullen Avenue
49,4755,33,Ballycullen Avenue
49,2524,36,Ballycullen Drive
49,4751,31,Ballycullen Drive
49,4754,32,Ballycullen Drive
49,4757,13,Ballycullen Drive
15,6282,70,Ballycullen Road
49,4749,32,Ballycullen Road
65b,4749,32,Ballycullen Road
25,2232,9,Ballydowd Grove
25x,2232,9,Ballydowd Grove
66,2232,9,Ballydowd Grove
66a,2232,9,Ballydowd Grove
66b,2232,9,Ballydowd Grove
66e,2232,9,Ballydowd Grove
67,2232,9,Ballydowd Grove
44b,3503,21,Ballyedmonduff
44b,3504,22,Ballyedmonduff
44b,3523,8,Ballyedmonduff
44b,3502,20,Ballyedmonduff Road
44b,3524,9,Ballyedmonduff Road
40,2656,22,Ballyfermot
40,2696,10,Ballyfermot
79,2656,22,Ballyfermot
79,2696,10,Ballyfermot
79a,2656,22,Ballyfermot
79a,2696,10,Ballyfermot
40,2668,56,Ballyfermot Comm Cen
79,2653,19,Ballyfermot Crescent
79,2701,13,Ballyfermot Crescent
79a,2653,19,Ballyfermot Crescent
79a,2701,13,Ballyfermot Crescent
40,2655,21,Ballyfermot Parade
40,2697,11,Ballyfermot Parade
79,2655,21,Ballyfermot Parade
79,2697,11,Ballyfermot Parade
79a,2655,21,Ballyfermot Parade
79a,2697,11,Ballyfermot Parade
40,2710,55,Ballyfermot Road
40,4799,17,Ballyfermot Road
79,2654,20,Ballyfermot Road
79a,2654,20,Ballyfermot Road
83,7423,16,Ballygall Parade
83,7426,53,Ballygall Parade
83a,7423,16,Ballygall Parade
83a,7426,53,Ballygall Parade
83,7424,15,Ballygall Place
83,7427,54,Ballygall Place
83a,7424,15,Ballygall Place
83a,7427,54,Ballygall Place
83,177,49,Ballygall Rd East
83,179,20,Ballygall Rd East
83,7428,55,Ballygall Road Junc
83a,7428,55,Ballygall Road Junc
11,7220,15,Ballyknockan Road
56a,2769,20,Ballymount Avenue
56a,5169,34,Ballymount Avenue
56a,2734,33,Ballymount Drive
56a,2770,21,Ballymount Drive
56a,2733,32,Ballymount Ind Est
56a,2771,22,Ballymount Ind Est
56a,2736,36,Ballymount Retail C
56a,2772,18,Ballymount Retail C
56a,2768,19,Ballymount Road
56a,2773,23,Ballymount Square
13,6238,86,Ballymun
13,92,75,Ballymun Library
155,92,75,Ballymun Library
4,92,75,Ballymun Library
42d,92,75,Ballymun Library
11,27,49,Ballymun Road
13,114,7,Ballymun Road
13,27,49,Ballymun Road
155,114,7,Ballymun Road
155,27,49,Ballymun Road
4,114,7,Ballymun Road
4,27,49,Ballymun Road
42d,114,7,Ballymun Road
70d,27,49,Ballymun Road
9,27,49,Ballymun Road
13,115,16,Ballymun Road Church
155,115,16,Ballymun Road Church
4,115,16,Ballymun Road Church
70d,115,16,Ballymun Road Church
9,115,16,Ballymun Road Church
13,91,54,Ballymun Road NS
155,91,54,Ballymun Road NS
4,91,54,Ballymun Road NS
70d,91,54,Ballymun Road NS
9,91,54,Ballymun Road NS
68,6187,72,Ballynakelly
118,3487,6,Ballyogan Road
44,3471,46,Ballyogan Road
44,3487,6,Ballyogan Road
47,3471,46,Ballyogan Road
47,3487,6,Ballyogan Road
67,3936,17,Ballyoulster
67x,3936,17,Ballyoulster
67,3902,53,Ballyoulster Park
67x,3902,53,Ballyoulster Park
25a,4610,34,Ballyowen Celtic FC
25,2216,21,Ballyowen Lane
25,2236,20,Ballyowen Lane
25a,2216,21,Ballyowen Lane
25a,2236,20,Ballyowen Lane
25b,2216,21,Ballyowen Lane
25b,2236,20,Ballyowen Lane
25d,2216,21,Ballyowen Lane
25d,2236,20,Ballyowen Lane
25x,2216,21,Ballyowen Lane
66,2216,21,Ballyowen Lane
66,2236,20,Ballyowen Lane
66a,2216,21,Ballyowen Lane
66a,2236,20,Ballyowen Lane
66b,2216,21,Ballyowen Lane
66b,2236,20,Ballyowen Lane
66e,2216,21,Ballyowen Lane
66e,2236,20,Ballyowen Lane
66x,2236,20,Ballyowen Lane
67,2216,21,Ballyowen Lane
67,2236,20,Ballyowen Lane
67x,2236,20,Ballyowen Lane
25a,4601,23,Ballyowen Park
25a,4633,17,Ballyowen Park
25b,4601,23,Ballyowen Park
25b,4633,17,Ballyowen Park
25a,4632,15,Ballyowen Road
25a,5058,24,Ballyowen Road
25b,4632,15,Ballyowen Road
25b,5058,24,Ballyowen Road
15b,7065,13,Ballyroan Road
15d,7065,13,Ballyroan Road
27b,1234,20,Ballyshannon Avenue
145,4178,3,Ballywaltrim Heights
145,5091,68,Ballywaltrim Heights
54a,2595,55,Bancroft Road
65,2595,55,Bancroft Road
150,1441,18,Bangor Road
150,3356,17,Bangor Road
27,2603,75,Bankcroft
120,824,15,Bannow Road
120,830,10,Bannow Road
151,7514,1,Bargy Road
44b,3500,18,Barnaculla
44b,3527,11,Barnaculla
33,3805,92,Barnageeragh Road
33,3814,8,Barnageeragh Road
33x,3805,92,Barnageeragh Road
66e,6158,53,Barnhall Road
66x,6158,53,Barnhall Road
7d,4830,2,Barnhill Road
40d,7238,16,Barnlodge
40d,7241,29,Barnlodge
39,7047,73,Barnwell Green
39,7048,2,Barnwell Green
39a,7047,73,Barnwell Green
39a,7048,2,Barnwell Green
39x,7047,73,Barnwell Green
39x,7048,2,Barnwell Green
69,4557,54,Barrack Court
33,3763,51,Barrack Lane
33,3855,48,Barrack Lane
33x,3763,51,Barrack Lane
33x,3855,48,Barrack Lane
40,7661,75,Barry Avenue
40b,7661,75,Barry Avenue
40,1520,74,Barry Road
40,1524,8,Barry Road
40b,1520,74,Barry Road
40b,1524,8,Barry Road
27,4693,12,Barryscourt Road
27x,4693,12,Barryscourt Road
16,1323,66,Barton Drive
14,1048,56,Barton Road East
14,1051,18,Barton Road East
14c,1051,18,Barton Road East
16,1324,67,Barton Road West
123,1995,22,Basin Street Lower
13,1995,22,Basin Street Lower
40,1995,22,Basin Street Lower
68x,1995,22,Basin Street Lower
54a,2553,30,Basketball Arena
54a,2597,57,Basketball Arena
65,2553,30,Basketball Arena
65,2597,57,Basketball Arena
42,3662,20,Baskin Lane
43,3662,20,Baskin Lane
1,391,44,Bath Street
47,391,44,Bath Street
33,3748,57,Batter Lane
33,5175,42,Batter Lane
33x,3748,57,Batter Lane
33x,5175,42,Batter Lane
13,2136,74,Bawnogue Church
51d,2136,74,Bawnogue Church
