model,mae,avg_journey_time,error_rate,scores
route_41A__.pkl,-171.3001381,1510.575206,11.34006023,[-175.24897347 -162.82927958 -146.03874371 -161.51622066 -210.86747298]
route_41B__.pkl,-180.5843425,1622.130155,11.13254334,[-191.36770003 -172.34783185 -178.02986178 -178.95731113 -182.21900761]
route_41C__.pkl,-228.6589709,1855.604394,12.32261422,[-244.63583912 -220.08689718 -233.78619213 -218.6022555  -226.18367081]
route_41D__.pkl,-167.1887214,1419.624628,11.77696682,[-142.09031969 -145.23415134 -193.98130046 -186.46200535 -168.17583021]
route_41X__.pkl,-219.5113031,2408.034027,9.11578909,[-249.87019222 -202.46684561 -183.85650337 -221.39250225 -239.97047216]
route_42D__.pkl,-154.0828074,1380.755678,11.15931007,[-146.62373537 -127.77585952  -98.56671536 -150.32090315 -247.1268236 ]
route_44B__.pkl,-137.6529305,833.2091377,16.52081384,[-187.24859413 -124.27349603 -119.31156037 -108.30402057 -149.12698147]
route_45A__.pkl,-201.8604628,1788.879194,11.28418641,[-203.10965421 -206.69574852 -204.10133313 -190.17047006 -205.22510814]
route_46A__.pkl,-247.5639377,2152.323781,11.50216988,[-266.00325759 -230.21804747 -269.35797646 -224.7956361  -247.44477108]
route_46E__.pkl,-239.9740145,1759.163558,13.64137027,[-278.24657452 -224.48937197 -272.65858523 -225.88594321 -198.5895977 ]
route_51D__.pkl,-170.3172302,1618.848594,10.52088693,[-220.72866276 -146.35824441 -164.63883084 -133.93084203 -185.92957089]
route_51X__.pkl,-174.6696945,2263.470932,7.716895856,[-190.89593484 -172.23549411 -166.21961347 -162.62071272 -181.37671761]
route_54A__.pkl,-203.9539181,1766.581085,11.54512068,[-264.82304888 -194.94982669 -168.88145368 -173.98696415 -217.12829708]
route_56A__.pkl,-176.4610162,1752.871166,10.0669701,[-191.36895206 -167.40275466 -156.60762593 -169.80577667 -197.11997178]
route_65B__.pkl,-173.7265347,1738.706804,9.991709603,[-190.11741428 -163.72233467 -156.62524699 -160.36474318 -197.80293452]
route_66A__.pkl,-187.873497,1530.557198,12.27484325,[-225.32896281 -172.23723801 -178.48521809 -169.94406288 -193.372003  ]
route_66B__.pkl,-194.0927209,1658.861663,11.70035604,[-237.10717639 -180.43189381 -176.18717247 -173.48107656 -203.25628504]
route_66X__.pkl,-251.0405929,2627.012982,9.556123041,[-342.82602622 -241.72024385 -209.42606049 -200.16685798 -261.06377594]
route_67X__.pkl,-251.0142418,2692.657694,9.322174234,[-290.07736325 -233.17576463 -213.44594252 -236.5513449  -281.82079352]
route_68A__.pkl,-202.9360953,1101.847543,18.41780167,[-261.84240835 -227.06410338 -176.31411749 -169.97119832 -179.48864874]
route_68X__.pkl,-117.1895551,867.0504364,13.51588676,[ -99.58086189 -125.5675754   -97.51455144 -104.03233762 -159.25244928]
route_69X__.pkl,-167.4123187,1865.056665,8.976259103,[-210.47217066 -167.17962201 -160.64537144 -136.96227845 -161.80215098]
route_70D__.pkl,-200.1147631,1785.936274,11.2050338,[-199.01220092 -201.97452427 -193.36375615 -157.19083736 -249.03249686]
route_76A__.pkl,-275.3137471,2132.434705,12.91077032,[-320.84708642 -247.49233456 -243.56010119 -252.16108962 -312.50812365]
route_77A__.pkl,-252.7053547,2351.298285,10.74748178,[-311.99966284 -239.07500828 -217.53951886 -233.59672843 -261.31585491]
route_77X__.pkl,-201.5288442,2287.247516,8.810976634,[-210.74223497 -225.06099177 -201.43082845 -183.6537559  -186.75641004]
route_79A__.pkl,-132.7948033,1016.324113,13.06618642,[-142.85786991 -130.57554074 -123.24308399 -122.49899657 -144.79852507]
route_7A__.pkl,-232.3666603,2020.069189,11.50290601,[-272.51821008 -217.25826422 -213.16852027 -222.33364331 -236.55466343]
route_7B__.pkl,-247.4988582,2425.146666,10.20552125,[-303.32557524 -241.28082284 -208.62306338 -214.28476626 -269.98006344]
route_7D__.pkl,-164.4397731,1980.772814,8.301798771,[-195.88454354 -146.58511981 -185.10118206 -140.22326876 -154.4047515 ]
route_83A__.pkl,-218.1950981,2162.373703,10.09053605,[-219.16096228 -209.43171627 -198.41795398 -207.12988777 -256.83497007]
route_84A__.pkl,-207.2602155,1399.015982,14.81471393,[-215.33453419 -194.58275773 -159.68681849 -188.03968413 -278.6572831 ]
route_84X__.pkl,-211.1803669,2506.941073,8.42382652,[-216.31707829 -204.58000832 -181.59439437 -194.07461894 -259.33573481]
